Observation_ID,Update_Datetime,Site_ID,Site_Name,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Species_Category,Individual_ID,Phenophase_ID,Phenophase_Category,Phenophase_Description,Observation_Date,Observation_Time,Day_of_Year,Phenophase_Status,Intensity_Category_ID,Intensity_Value,Abundance_Value,AGDD,Tmax,Tmin,Prcp,Accum_Prcp,Daylength
25647790,2021-04-20 20:43:46,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,500,Flowers,Flowers or flower buds,2021-03-02,00:00:00,61,0,49,-9999,-9999,1383.08,24.23,19.73,4.07,207.82,41679
25715259,2021-04-26 19:43:38,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,500,Flowers,Flowers or flower buds,2021-03-16,00:00:00,75,0,49,-9999,-9999,1687.51,22.5,19.89,15.82,508.75,42738
25787609,2021-04-26 20:29:48,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,500,Flowers,Flowers or flower buds,2021-03-30,00:00:00,89,0,49,-9999,-9999,2001.16,26.34,21.55,0,576.48,43815
25787891,2021-07-15 11:32:53,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,500,Flowers,Flowers or flower buds,2021-04-13,00:00:00,103,0,49,-9999,-9999,2310.43,24.57,18.87,1.13,603.76,44868
26618517,2021-07-20 19:29:49,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,500,Flowers,Flowers or flower buds,2021-04-27,00:00:00,117,1,49,11 to 100,-9999,2633.21,28.58,19.04,0,613.32,45853
26663984,2021-07-20 20:15:00,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,500,Flowers,Flowers or flower buds,2021-05-11,00:00:00,131,1,49,11 to 100,-9999,2966.92,26.81,21.5,0.72,674.54,46716
26663992,2021-07-21 22:04:51,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,500,Flowers,Flowers or flower buds,2021-05-25,00:00:00,145,0,49,-9999,-9999,3303.02,28.21,21.1,0,705.45,47395
26673471,2021-07-27 13:16:02,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,500,Flowers,Flowers or flower buds,2021-06-08,00:00:00,159,1,49,3 to 10,-9999,3650.55,27.33,22.6,0.24,718.96,47828
26718626,2021-07-27 13:46:00,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,500,Flowers,Flowers or flower buds,2021-06-22,00:00:00,173,0,49,-9999,-9999,3996.52,28.17,22.2,4.5,741.15,47966
26718855,2022-01-06 18:41:20,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,500,Flowers,Flowers or flower buds,2021-07-08,00:00:00,189,0,49,-9999,-9999,4397.86,28.36,21.83,0.99,761,47746
28104403,2022-01-10 13:32:45,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,500,Flowers,Flowers or flower buds,2021-08-03,00:00:00,215,0,49,-9999,-9999,5061.82,28.18,22.34,0,798.1,46632
28113552,2022-01-10 14:31:30,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,500,Flowers,Flowers or flower buds,2021-09-01,00:00:00,244,0,49,-9999,-9999,5799.81,28.53,20.86,0,878.77,44684
28113941,2022-01-10 17:54:26,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,500,Flowers,Flowers or flower buds,2021-09-22,00:00:00,265,0,49,-9999,-9999,6331.27,28.43,23.41,0,922.31,43085
28115640,2022-01-10 18:21:09,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,500,Flowers,Flowers or flower buds,2021-10-06,00:00:00,279,0,49,-9999,-9999,6682.9,27.82,22.79,4.22,960.98,42015
28115647,2022-01-11 00:30:16,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,500,Flowers,Flowers or flower buds,2021-11-17,00:00:00,321,1,49,Less than 3,-9999,7711.1,28.04,21.23,0,1047.08,39293
28116270,2022-01-11 01:24:45,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,500,Flowers,Flowers or flower buds,2021-12-01,00:00:00,335,1,49,11 to 100,-9999,8052.1,26.88,21.99,2.52,1072.06,38739
28116397,2022-01-11 16:20:16,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,500,Flowers,Flowers or flower buds,2021-12-22,00:00:00,356,1,49,"101 to 1,000",-9999,8529.03,23.81,19.72,1.53,1336.68,38435
28120393,2022-01-31 17:24:31,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,500,Flowers,Flowers or flower buds,2022-01-04,00:00:00,4,1,49,"101 to 1,000",-9999,86.21,26.31,18.33,3.61,53.31,38594
28213445,-9999,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,500,Flowers,Flowers or flower buds,2022-01-25,00:00:00,25,1,49,"More than 1,000",-9999,559.88,26.01,20.71,2.55,76.88,39366
25620082,2021-04-16 12:52:16,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,501,Flowers,Open flowers,2021-02-16,00:00:00,47,0,50,-9999,-9999,1061.46,26.5,18.52,0,148.86,40681
25647791,2021-04-20 20:43:46,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,501,Flowers,Open flowers,2021-03-02,00:00:00,61,0,50,-9999,-9999,1383.08,24.23,19.73,4.07,207.82,41679
25715260,2021-04-26 19:43:38,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,501,Flowers,Open flowers,2021-03-16,00:00:00,75,0,50,-9999,-9999,1687.51,22.5,19.89,15.82,508.75,42738
25787610,2021-04-26 20:29:48,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,501,Flowers,Open flowers,2021-03-30,00:00:00,89,0,50,-9999,-9999,2001.16,26.34,21.55,0,576.48,43815
25787892,2021-07-15 11:32:53,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,501,Flowers,Open flowers,2021-04-13,00:00:00,103,0,50,-9999,-9999,2310.43,24.57,18.87,1.13,603.76,44868
26618518,2021-07-20 19:29:49,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,501,Flowers,Open flowers,2021-04-27,00:00:00,117,1,50,5-24%,-9999,2633.21,28.58,19.04,0,613.32,45853
26663985,2021-07-20 20:15:00,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,501,Flowers,Open flowers,2021-05-11,00:00:00,131,1,50,75-94%,-9999,2966.92,26.81,21.5,0.72,674.54,46716
26663993,2021-07-21 22:04:51,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,501,Flowers,Open flowers,2021-05-25,00:00:00,145,0,50,-9999,-9999,3303.02,28.21,21.1,0,705.45,47395
26673472,2021-07-27 13:16:02,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,501,Flowers,Open flowers,2021-06-08,00:00:00,159,1,50,95% or more,-9999,3650.55,27.33,22.6,0.24,718.96,47828
26718627,2021-07-27 13:46:00,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,501,Flowers,Open flowers,2021-06-22,00:00:00,173,0,50,-9999,-9999,3996.52,28.17,22.2,4.5,741.15,47966
26718856,2022-01-06 18:41:20,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,501,Flowers,Open flowers,2021-07-08,00:00:00,189,0,50,-9999,-9999,4397.86,28.36,21.83,0.99,761,47746
28104404,2022-01-10 13:32:45,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,501,Flowers,Open flowers,2021-08-03,00:00:00,215,0,50,-9999,-9999,5061.82,28.18,22.34,0,798.1,46632
28113553,2022-01-10 14:31:30,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,501,Flowers,Open flowers,2021-09-01,00:00:00,244,0,50,-9999,-9999,5799.81,28.53,20.86,0,878.77,44684
28113942,2022-01-10 17:54:26,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,501,Flowers,Open flowers,2021-09-22,00:00:00,265,0,50,-9999,-9999,6331.27,28.43,23.41,0,922.31,43085
28115641,2022-01-10 18:21:09,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,501,Flowers,Open flowers,2021-10-06,00:00:00,279,0,50,-9999,-9999,6682.9,27.82,22.79,4.22,960.98,42015
28115648,2022-01-11 00:30:16,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,501,Flowers,Open flowers,2021-11-17,00:00:00,321,0,50,-9999,-9999,7711.1,28.04,21.23,0,1047.08,39293
28116271,2022-01-11 01:24:45,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,501,Flowers,Open flowers,2021-12-01,00:00:00,335,0,50,-9999,-9999,8052.1,26.88,21.99,2.52,1072.06,38739
28116398,2022-01-11 16:20:16,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,501,Flowers,Open flowers,2021-12-22,00:00:00,356,1,50,25-49%,-9999,8529.03,23.81,19.72,1.53,1336.68,38435
28120394,2022-01-31 17:24:31,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,501,Flowers,Open flowers,2022-01-04,00:00:00,4,1,50,25-49%,-9999,86.21,26.31,18.33,3.61,53.31,38594
28213446,-9999,44059,Kahuku Training Area,21.683958,-157.976212,45,HI,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",269050,501,Flowers,Open flowers,2022-01-25,00:00:00,25,1,50,75-94%,-9999,559.88,26.01,20.71,2.55,76.88,39366
26174432,2021-05-26 12:31:31,43860,home backyard,33.929916,-117.325432,482,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",271760,500,Flowers,Flowers or flower buds,2021-03-27,00:00:00,86,0,49,-9999,-9999,1105.4,25.97,5.17,0,105.69,43851
26174439,2021-05-26 12:31:31,43860,home backyard,33.929916,-117.325432,482,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",271760,500,Flowers,Flowers or flower buds,2021-04-02,00:00:00,92,0,49,-9999,-9999,1221.39,27.33,8.95,0,105.69,44629
26174623,2021-05-26 12:32:46,43860,home backyard,33.929916,-117.325432,482,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",271760,500,Flowers,Flowers or flower buds,2021-04-09,00:00:00,99,1,49,3 to 10,-9999,1349.44,28.04,9.06,0,105.69,45525
26174630,2021-05-26 12:32:46,43860,home backyard,33.929916,-117.325432,482,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",271760,500,Flowers,Flowers or flower buds,2021-04-16,00:00:00,106,1,49,3 to 10,-9999,1460.51,23.78,7.25,0,105.69,46399
26174644,2021-05-26 12:33:51,43860,home backyard,33.929916,-117.325432,482,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",271760,500,Flowers,Flowers or flower buds,2021-04-23,00:00:00,113,1,49,3 to 10,-9999,1579.6,19.42,10.81,0,105.69,47241
26174651,2021-05-26 12:33:51,43860,home backyard,33.929916,-117.325432,482,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",271760,500,Flowers,Flowers or flower buds,2021-04-30,00:00:00,120,1,49,3 to 10,-9999,1703.51,35.49,14.8,0,105.69,48042
26174774,2021-05-26 12:35:39,43860,home backyard,33.929916,-117.325432,482,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",271760,500,Flowers,Flowers or flower buds,2021-05-07,00:00:00,127,1,49,11 to 100,-9999,1844.68,25.63,12.38,0,105.69,48787
26174781,2021-05-26 12:35:39,43860,home backyard,33.929916,-117.325432,482,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",271760,500,Flowers,Flowers or flower buds,2021-05-14,00:00:00,134,1,49,11 to 100,-9999,1979.54,26.99,11.96,0,105.69,49464
26174433,2021-05-26 12:31:31,43860,home backyard,33.929916,-117.325432,482,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",271760,501,Flowers,Open flowers,2021-03-27,00:00:00,86,0,50,-9999,-9999,1105.4,25.97,5.17,0,105.69,43851
26174440,2021-05-26 12:31:31,43860,home backyard,33.929916,-117.325432,482,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",271760,501,Flowers,Open flowers,2021-04-02,00:00:00,92,0,50,-9999,-9999,1221.39,27.33,8.95,0,105.69,44629
26174624,2021-05-26 12:32:46,43860,home backyard,33.929916,-117.325432,482,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",271760,501,Flowers,Open flowers,2021-04-09,00:00:00,99,0,50,-9999,-9999,1349.44,28.04,9.06,0,105.69,45525
26174631,2021-05-26 12:32:46,43860,home backyard,33.929916,-117.325432,482,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",271760,501,Flowers,Open flowers,2021-04-16,00:00:00,106,1,50,5-24%,-9999,1460.51,23.78,7.25,0,105.69,46399
26174645,2021-05-26 12:33:51,43860,home backyard,33.929916,-117.325432,482,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",271760,501,Flowers,Open flowers,2021-04-23,00:00:00,113,1,50,25-49%,-9999,1579.6,19.42,10.81,0,105.69,47241
26174652,2021-05-26 12:33:51,43860,home backyard,33.929916,-117.325432,482,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",271760,501,Flowers,Open flowers,2021-04-30,00:00:00,120,1,50,25-49%,-9999,1703.51,35.49,14.8,0,105.69,48042
26174775,2021-05-26 12:35:39,43860,home backyard,33.929916,-117.325432,482,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",271760,501,Flowers,Open flowers,2021-05-07,00:00:00,127,1,50,50-74%,-9999,1844.68,25.63,12.38,0,105.69,48787
26174782,2021-05-26 12:35:39,43860,home backyard,33.929916,-117.325432,482,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",271760,501,Flowers,Open flowers,2021-05-14,00:00:00,134,1,50,50-74%,-9999,1979.54,26.99,11.96,0,105.69,49464
29974792,-9999,47679,Citizen Science Project,36.979958,-121.906212,40,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",292472,500,Flowers,Flowers or flower buds,2022-04-15,00:00:00,105,1,49,3 to 10,-9999,1336.88,20.35,9.6,16.43,75.98,46643
29974809,-9999,47679,Citizen Science Project,36.979958,-121.906212,40,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",292472,500,Flowers,Flowers or flower buds,2022-05-05,00:00:00,125,1,49,3 to 10,-9999,1617.41,23.06,8.4,0,108.53,49230
29974793,-9999,47679,Citizen Science Project,36.979958,-121.906212,40,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",292472,501,Flowers,Open flowers,2022-04-15,00:00:00,105,0,50,-9999,-9999,1336.88,20.35,9.6,16.43,75.98,46643
29974810,-9999,47679,Citizen Science Project,36.979958,-121.906212,40,CA,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",292472,501,Flowers,Open flowers,2022-05-05,00:00:00,125,0,50,-9999,-9999,1617.41,23.06,8.4,0,108.53,49230
34328021,-9999,23744,BioPark,35.080849,-106.670029,1507,NM,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",319366,500,Flowers,Flowers or flower buds,2023-08-11,09:32:00,223,1,49,11 to 100,-9999,3324.46,34.68,17.77,0,58.69,48429
34378543,-9999,23744,BioPark,35.080849,-106.670029,1507,NM,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",319366,500,Flowers,Flowers or flower buds,2023-08-17,08:12:00,229,1,49,11 to 100,-9999,3480.99,36.66,19.05,0,58.69,47725
34423675,-9999,23744,BioPark,35.080849,-106.670029,1507,NM,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",319366,500,Flowers,Flowers or flower buds,2023-08-23,08:08:00,235,1,49,11 to 100,-9999,3641.19,31.5,19.07,0.69,61.55,46985
34493556,-9999,23744,BioPark,35.080849,-106.670029,1507,NM,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",319366,500,Flowers,Flowers or flower buds,2023-09-01,09:03:00,244,1,49,11 to 100,-9999,3871.86,35.28,16.86,0,75.97,45825
34560142,-9999,23744,BioPark,35.080849,-106.670029,1507,NM,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",319366,500,Flowers,Flowers or flower buds,2023-09-08,08:14:00,251,1,49,11 to 100,-9999,4046.58,35.73,13.92,0,75.97,44894
34606303,-9999,23744,BioPark,35.080849,-106.670029,1507,NM,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",319366,500,Flowers,Flowers or flower buds,2023-09-12,10:52:00,255,1,49,"101 to 1,000",-9999,4136.91,21.91,14.92,3.89,83.96,44355
34705507,-9999,23744,BioPark,35.080849,-106.670029,1507,NM,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",319366,500,Flowers,Flowers or flower buds,2023-09-20,09:50:00,263,1,49,"101 to 1,000",-9999,4292.01,29.18,9.19,0,105.35,43269
34776544,-9999,23744,BioPark,35.080849,-106.670029,1507,NM,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",319366,500,Flowers,Flowers or flower buds,2023-09-26,10:43:00,269,1,49,"101 to 1,000",-9999,4415.94,30.83,11.16,0,105.35,42452
34851605,-9999,23744,BioPark,35.080849,-106.670029,1507,NM,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",319366,500,Flowers,Flowers or flower buds,2023-10-03,09:36:00,276,1,49,3 to 10,-9999,4559.53,25.74,8.02,0,105.88,41507
34941429,-9999,23744,BioPark,35.080849,-106.670029,1507,NM,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",319366,500,Flowers,Flowers or flower buds,2023-10-12,08:21:00,285,1,49,3 to 10,-9999,4709.52,24.27,6.58,0,105.88,40314
35026105,-9999,23744,BioPark,35.080849,-106.670029,1507,NM,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",319366,500,Flowers,Flowers or flower buds,2023-10-18,08:43:00,291,0,49,-9999,-9999,4800.02,29,6.3,0,105.88,39542
35096543,-9999,23744,BioPark,35.080849,-106.670029,1507,NM,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",319366,500,Flowers,Flowers or flower buds,2023-10-24,09:50:00,297,1,49,3 to 10,-9999,4903.6,23.67,8.98,0,105.88,38797
35179383,-9999,23744,BioPark,35.080849,-106.670029,1507,NM,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",319366,500,Flowers,Flowers or flower buds,2023-11-01,11:02:00,305,0,49,-9999,-9999,4985.04,16.15,-4.55,0,105.88,37858
35302175,2023-11-10 15:52:34,23744,BioPark,35.080849,-106.670029,1507,NM,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",319366,500,Flowers,Flowers or flower buds,2023-11-10,15:51:00,314,0,49,-9999,-9999,5087.91,10.33,1.41,3.74,112.21,36900
35337031,-9999,23744,BioPark,35.080849,-106.670029,1507,NM,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",319366,500,Flowers,Flowers or flower buds,2023-11-14,12:17:00,318,0,49,-9999,-9999,5118.11,17.69,-0.75,0,112.21,36515
35479904,-9999,23744,BioPark,35.080849,-106.670029,1507,NM,203,Helianthus,annuus,common sunflower,Plantae,"Crop,Nectar Connectors Campaign",319366,500,Flowers,Flowers or flower buds,2023-12-01,15:38:00,335,0,49,-9999,-9999,5213.77,8.97,0.03,0,131.54,35241
